Mohave|00025445|[-12774446.9877, 4056985.2185999975, -12526676.2576, 4439212.519199997]
Alameda|01675839|[-13619078.776700001, 4502605.660099998, -13521892.501000002, 4566131.132299998]
Alpine|01675840|[-13366503.5076, 4625707.203699999, -13307406.315, 4712126.051499998]
Humboldt|01681908|[-13849213.8617, 4866128.4804000035, -13737499.0688, 5081299.038100003]
Lake|00277281|[-13702786.499699999, 4674156.663699999, -13618847.135899998, 4805298.359099999]
Los Angeles|00277283|[-13240882.8859, 3868981.541199997, -13096335.7949, 4139894.980999997]
Nevada|01682927|[-13500801.3721, 4722411.462700002, -13358687.3631, 4797400.721400002]
San Mateo|00277305|[-13638960.3266, 4454076.831900001, -13593080.4896, 4538319.0737000005]
Santa Clara|00277307|[-13603538.5678, 4424208.122199997, -13492836.323, 4506876.648999997]
Yuba|00277322|[-13540500.0257, 4709989.531999998, -13470714.8337, 4813687.688699998]
Boulder|00198122|[-11765843.7037, 4853292.104800001, -11694422.4383, 4904203.645100001]
Delta|00198130|[-12064691.058600001, 4674234.5211, -11966910.4458, 4752935.3001999995]
Jefferson|00198145|[-11732980.841699999, 4740248.438000001, -11693973.3698, 4853507.049700001]
Ouray|00198161|[-12037242.6658, 4564182.080600001, -11968070.9423, 4626544.289700001]
Boise|00395157|[-12944419.6393, 5401567.769199997, -12798094.2632, 5520000.211799997]
Camas|00399408|[-12811396.1523, 5342113.147200003, -12732121.297, 5443588.856900003]
Clark|00399755|[-12578592.000300001, 5461101.8352999985, -12425157.206100002, 5554283.213399999]
Elmore|00400252|[-12942836.5513, 5276685.749200001, -12798543.3253, 5480727.580100002]
Franklin|00395585|[-12481842.3981, 5160620.588399999, -12412987.4899, 5225700.356599999]
Fremont|00395408|[-12485191.364500001, 5447386.7839, -12361703.963000001, 5582941.1103]
Lewis|00395622|[-12992513.841, 5779000.5097, -12914472.293, 5855868.588500001]
Valley|00399756|[-12936778.898699999, 5488319.399599999, -12767693.1517, 5656176.129999999]
Grant|00485099|[-11301941.9655, 4493289.376100004, -11253222.1963, 4542266.2030000035]
Wallace|00485060|[-11359842.1131, 4678443.684900001, -11296502.0189, 4740999.749500001]
Cascade|01719622|[-12473103.3661, 5912422.8024, -12315974.1871, 6056880.918500001]
Chouteau|01719619|[-12402005.3883, 6010130.1325, -12193148.9322, 6158010.2048]
Deer Lodge|01719617|[-12636701.6044, 5741657.371399999, -12529967.3487, 5823212.907999999]
Flathead|01719611|[-12803978.1526, 6039824.582900003, -12565600.988499999, 6275098.365800003]
Lake|01796943|[-12757755.829300001, 5964640.8576000035, -12645685.5754, 6115494.583400004]
