Cimarron Headwaters|11040001|[-11597634.6178, 4394653.399899997, -11453662.2796, 4479359.515699997]
Conejos|13010005|[-11878636.3058, 4406639.795699999, -11770484.6664, 4492485.7782999985]
Animas|14080104|[-12047190.3099, 4399162.715499997, -11968646.4534, 4574066.1856999975]
Middle Canadian-Trujillo|11090101|[-11520337.9669, 4154189.6296999976, -11402322.2769, 4290171.668599998]
Carrizo|11090104|[-11598065.678, 4302216.758599997, -11419883.824, 4400219.031599997]
Palo Duro|11120102|[-11493950.6886, 4142813.201200001, -11343756.446, 4203105.574500001]
Las Vegas Wash|15010015|[-12880345.204300001, 4276828.570799999, -12785207.843600001, 4406204.607699999]
Pilot-Thousand Springs, Nevada, Utah|16020307|[-12802847.1393, 5013822.613899998, -12683076.431, 5138654.899599998]
Upper Humboldt|16040101|[-12950267.720800001, 4951310.061700001, -12770042.976400001, 5128866.671900001]
South Fork Humboldt|16040103|[-12915841.2658, 4849733.5779, -12844992.9934, 4995617.9779]
Middle Humboldt|16040105|[-13090612.096099999, 4825694.759599999, -12933960.986699998, 5063419.2420999985]
Rock|16040106|[-13009193.5999, 4966974.513700001, -12945033.0444, 5076042.146900001]
Reese|16040107|[-13087166.8002, 4684624.8495000005, -13006650.4005, 4982791.6085]
Lower Humboldt|16040108|[-13244974.997200001, 4828298.226400003, -13060083.5361, 5038426.056500003]
Little Humboldt|16040109|[-13111065.030000001, 5013950.904700004, -12981898.0916, 5140927.002200004]
Lower Quinn|16040202|[-13294033.600200001, 4941494.867600001, -13165936.3967, 5148525.305900001]
Pyramid-Winnemucca Lakes|16050103|[-13342082.2106, 4811955.4196000025, -13265550.6454, 4928501.0402000025]
Granite Springs Valley|16050104|[-13287994.9089, 4791279.0383, -13195573.2689, 4962059.9237]
Middle Carson|16050202|[-13327464.3618, 4725731.310900003, -13240861.0341, 4796726.522000003]
Carson Desert|16050203|[-13267153.157499999, 4740112.355899997, -13139864.171999998, 4907317.033699997]
Walker|16050303|[-13280475.6466, 4690410.433700003, -13182881.625500001, 4755544.177200003]
Walker Lake|16050304|[-13230490.3693, 4594530.995700002, -13169445.616700001, 4700130.444600002]
Sidney Draw|10190017|[-11589226.1747, 4987301.394699998, -11466644.8271, 5043265.232499998]
Lower South Platte|10190018|[-11426815.0855, 4994250.002599999, -11207316.416, 5052089.1608]
Stinking Water|10250006|[-11434679.4251, 4918941.188100003, -11254897.983900001, 5015756.058400002]
Middle Niobrara|10150004|[-11374904.203, 5205415.411399998, -11018569.2839, 5334003.754499998]
Niobrara Headwaters|10150002|[-11654815.445700001, 5190997.287799999, -11473767.094400002, 5291185.327999999]
Middle North Platte-Scotts Bluff|10180009|[-11667641.9622, 5041009.380099997, -11367867.4046, 5258817.638099997]
Canadian Headwaters|11080001|[-11714995.321, 4345327.664499998, -11592654.534, 4449215.057799998]
Cimarron|11080002|[-11730569.6378, 4336974.562899999, -11632786.323900001, 4418080.1669]
Upper Canadian|11080003|[-11711943.6717, 4218137.443400003, -11592167.6601, 4372985.237300003]
Mora|11080004|[-11750614.6237, 4242285.998599999, -11620030.8729, 4350446.847999998]
Conchas|11080005|[-11690013.0238, 4159545.902599998, -11597260.7217, 4256666.453999998]
Upper Canadian-Ute Reservoir|11080006|[-11625836.0206, 4153832.734099999, -11466733.9208, 4292441.012799999]
Ute|11080007|[-11606370.7072, 4212220.476400003, -11509983.2439, 4381888.848100003]
Revuelto|11080008|[-11585741.5686, 4138197.8730999976, -11498929.6453, 4213619.758499998]
Upper Rio Grande|13020101|[-11849852.8334, 4261239.114, -11710833.7673, 4466075.5876]
Rio Grande-Santa Fe|13020201|[-11870378.7344, 4179210.7497999966, -11758104.692400001, 4285172.223899997]
Jemez|13020202|[-11918222.4155, 4212219.882700004, -11843273.9352, 4317973.226800004]
Rio Grande-Albuquerque|13020203|[-11933429.3682, 3982804.1772999987, -11823190.3301, 4221101.712399999]
