Mohave|00025445|[-1678738.7303, 1388363.6387, -1450623.9738999999, 1701476.4908]
Alameda|01675839|[-2268050.3302999996, 1901968.3373000007, -2201720.868, 1966590.8259000008]
Alpine|01675840|[-2058984.9438000005, 1952752.2036000006, -2010543.1151000005, 2024269.8894000007]
Humboldt|01681908|[-2356113.742900001, 2222618.1158000007, -2249056.836800001, 2392069.165900001]
Lake|00277281|[-2291000.0879999995, 2057080.3098000009, -2233533.6623999993, 2161475.1901000007]
Los Angeles|00277283|[-2082308.0802999996, 1326478.6089000003, -1948801.8547999996, 1555443.8729000003]
Nevada|01682927|[-2142521.637599999, 2057522.4020000007, -2025219.800199999, 2104844.9673000006]
San Mateo|00277305|[-2292031.3486, 1880946.4648000002, -2258737.5012000003, 1950732.4659000002]
Santa Clara|00277307|[-2270363.1597000007, 1839757.6497000009, -2193561.1773000006, 1915491.079900001]
Yuba|00277322|[-2170711.6053, 2059597.6138000004, -2102533.3628, 2124842.0992000005]
Boulder|00198122|[-819514.4816999994, 1914597.0516, -762315.9680999995, 1957462.0198]
Delta|00198130|[-1063946.6287999991, 1797667.4353, -981418.2715999992, 1858790.7465]
Jefferson|00198145|[-803607.9691000003, 1828634.2734999992, -765835.6035000003, 1916554.4199999992]
Ouray|00198161|[-1047794.4635000005, 1713377.5697000008, -997975.4827000005, 1766956.8018000007]
Boise|00395157|[-1613104.3734000009, 2455209.037900001, -1505893.180500001, 2529402.4286000007]
Camas|00399408|[-1532915.5458000004, 2388182.0912999995, -1475200.7303000004, 2469976.9033999997]
Clark|00399755|[-1351418.8911000006, 2448129.8512999993, -1232410.7104000007, 2507999.5025999993]
Elmore|00400252|[-1628499.9469000008, 2351464.5944999997, -1507414.4436000008, 2500063.5368]
Franklin|00395585|[-1318976.4987000003, 2214720.2830999997, -1267297.2614000004, 2265904.4576]
Fremont|00395408|[-1285472.3544999994, 2423035.5573999994, -1189292.1212999995, 2516556.890299999]
Lewis|00395622|[-1593349.4190999996, 2728204.2051999997, -1535771.5674999997, 2777080.7166]
Valley|00399756|[-1599548.4206000008, 2518956.5600000005, -1458273.7757000008, 2634318.8416000004]
Grant|00485099|[-484354.84720000066, 1606153.8063999992, -444076.21350000065, 1647296.933099999]
Wallace|00485060|[-520495.6495999992, 1754933.9169999994, -468908.9361999992, 1806305.6957999994]
Cascade|01719622|[-1216546.6064, 2734039.8106999993, -1106597.6487, 2842212.799799999]
Chouteau|01719619|[-1159742.5687000006, 2793558.8055000007, -1012806.7812000007, 2896053.590800001]
Deer Lodge|01719617|[-1352426.9217000008, 2653141.3318000007, -1272909.1187000007, 2704137.6035000007]
Flathead|01719611|[-1422148.8586, 2850296.0626, -1263816.4593, 3024545.4379999996]
Lake|01796943|[-1397980.5913999993, 2811624.1809, -1322705.8192999994, 2912051.9037]
Madison|01720033|[-1298281.2427999992, 2512164.6896, -1192086.0723999992, 2646086.4175]
Powell|01720021|[-1323443.4991999995, 2697530.8606000002, -1246292.9828999995, 2855206.7823]
Rosebud|01716795|[-908751.1114000008, 2509336.0244999994, -771042.1577000008, 2708130.4446999994]
Valley|01678923|[-860925.1270000003, 2789046.7470999993, -730035.9479000004, 2936877.464299999]
Harding|00933055|[-751032.9232000001, 1396306.2569000004, -656574.3828, 1496570.5789000003]
Sierra|01702370|[-1108690.9647000004, 1121906.7008999996, -954172.3367000003, 1226509.3199999996]
Grant|01035300|[-468124.2963999994, 2570204.8279, -387911.1050999994, 2651437.4054]
Sioux|01034208|[-465414.2703000009, 2558920.0286, -349671.6548000009, 2613059.3691]
Williams|01035306|[-604593.7201000005, 2798137.945800001, -510385.5691000005, 2873362.257400001]
Clackamas|01155127|[-2079529.4837999996, 2706164.2531000003, -1987779.4395999997, 2787203.4984000004]
Gilliam|01135850|[-1906352.5983000007, 2686286.7335, -1846903.5638000006, 2775892.7551]
Klamath|01155134|[-2135024.6407999992, 2376629.8935000002, -2002218.1732999992, 2575512.9499000004]
Lane|01135855|[-2221980.4536000006, 2559553.943499999, -2028257.3494000006, 2693712.595499999]
Linn|01135857|[-2137174.7589999996, 2640191.7481999993, -2015693.4968999997, 2722540.2385999993]
Malheur|01135858|[-1809598.4116999991, 2301475.1623, -1652304.9073999992, 2584496.4884]
Multnomah|01135861|[-2072521.9759, 2769572.1503999997, -1994477.8525999999, 2821165.6196999997]
Sherman|01135863|[-1941451.4606999997, 2702021.5449, -1882031.7373999998, 2775339.6950000003]
Meade|01266991|[-602397.2391999997, 2367066.2191000003, -471876.0770999997, 2470164.3157]
Pennington|01266995|[-644370.5954, 2314908.1884000003, -475662.0023, 2406290.5687]
Crane|01383837|[-641476.6066999994, 909916.7034999998, -596307.3713999994, 975736.1600999999]
Pecos|01383971|[-723508.1322000008, 797081.8503, -551232.2609000008, 946274.2242]
Ward|01384023|[-718084.3410999998, 933406.0021000002, -638630.8219999998, 981767.9739000001]
Beaver|01448015|[-1557433.8464000002, 1802828.3631999996, -1407506.4801000003, 1874545.9360999996]
Box Elder|01455966|[-1496482.4833000004, 2122562.9307000004, -1309341.1956000004, 2250687.3277000003]
Kane|01448026|[-1481996.5079999994, 1660286.9140000008, -1276821.1963999995, 1742846.1077000007]
Morgan|01448028|[-1315491.555400001, 2080673.9337000009, -1260899.6604000009, 2144077.8126000008]
Salt Lake|01448031|[-1354608.9481000006, 2046185.2643999998, -1299160.1282000006, 2102580.3545]
Summit|01448035|[-1304090.6462999992, 2049638.9392000008, -1164097.0729999992, 2126137.8771000006]
Benton|01513302|[-1836661.0980999991, 2766832.289000001, -1760520.989299999, 2859601.2057000007]
Chelan|01531932|[-1879426.0582999997, 2927894.088199999, -1778104.4651999997, 3079751.383699999]
Clallam|01531341|[-2126482.8048, 3049654.9307000004, -1995279.3128, 3144228.8016000004]
Cowlitz|01529156|[-2076877.4091999996, 2831786.0529999994, -1998111.4671999996, 2898136.5831999993]
Kittitas|01531926|[-1915077.9056000002, 2869326.273499999, -1808667.8812000002, 2984084.065799999]
Lincoln|01514052|[-1731814.6983000003, 2886359.6251, -1631904.8503000003, 2980046.6069]
Stevens|01531930|[-1669457.4070999995, 2938959.8376, -1574216.2700999994, 3079522.088]
Park|01605079|[-1186413.2105, 2386141.1567, -990548.7197, 2539572.8747]
Teton|01605083|[-1209318.6542000007, 2339165.2139, -1116812.1313000007, 2502742.6615999998]
Weston|01605086|[-729869.4037999995, 2306368.6317999996, -641204.7703999995, 2388507.4581999998]
Coconino|00025443|[-1549634.0118000004, 1348448.7325, -1295158.4362000003, 1677382.5868]
Graham|00025444|[-1346607.4031000007, 1123788.4189, -1222827.0852000008, 1264344.1269]
La Paz|00043540|[-1724189.2210000008, 1269132.0461, -1574133.3289000008, 1406586.3381999999]
Maricopa|00037026|[-1610889.1962000001, 1177046.7105999999, -1382717.621, 1359440.7318999998]
Yuma|00023901|[-1746908.1537999995, 1144280.7955999998, -1593230.9598999994, 1316649.7092999998]
Mendocino|00277287|[-2348097.5452999994, 2081386.3140999991, -2248859.306399999, 2234225.904799999]
Mono|00277290|[-2028993.6526999995, 1821614.3413999993, -1896034.3363999994, 1993583.0736999994]
Riverside|00277297|[-1973802.6413000003, 1319760.4647000004, -1678115.5065000001, 1441874.1763000004]
