Cimarron Headwaters|11040001|[-721960.2226999998, 1542603.1139000002, -607166.2575999998, 1607569.2519000003]
Conejos|13010005|[-937761.7697999999, 1573584.0428, -853358.0065999998, 1644277.2519999999]
Animas|14080104|[-1078620.3902000003, 1587995.4081999995, -1000942.0741000003, 1719803.1308999995]
Middle Canadian-Trujillo|11090101|[-670058.5648999996, 1343317.0141000003, -577389.9766999997, 1456603.4584000004]
Carrizo|11090104|[-724470.7868000008, 1461277.3697999995, -587439.5581000008, 1549082.9250999996]
Palo Duro|11120102|[-656314.2161999997, 1333407.8861999996, -533934.6532999997, 1378246.2918999996]
Las Vegas Wash|15010015|[-1740869.6291000005, 1590603.9520999994, -1671332.9564000005, 1700486.7854999993]
Pilot-Thousand Springs, Nevada, Utah|16020307|[-1565769.5426000003, 2146804.558700001, -1479330.8862000003, 2241351.989600001]
Upper Humboldt|16040101|[-1688782.398, 2117854.2748000007, -1545460.392, 2250090.5430000005]
South Fork Humboldt|16040103|[-1670858.0804999992, 2048024.6132999994, -1616073.9079999991, 2155763.6205999996]
Middle Humboldt|16040105|[-1793859.2309000008, 2051337.5211999994, -1677846.7488000009, 2229861.2684999993]
Rock|16040106|[-1728831.2404999994, 2153260.5733000003, -1674526.0386999995, 2230061.6334]
Reese|16040107|[-1839485.341, 1952147.1601, -1739288.3041, 2171010.7888]
Lower Humboldt|16040108|[-1929678.3618, 2090422.1053999998, -1760459.8490000002, 2219331.3510999996]
Little Humboldt|16040109|[-1800913.7844999991, 2206008.5582999997, -1697931.502499999, 2293497.0320999995]
Lower Quinn|16040202|[-1940840.8489999995, 2174115.0286, -1826075.5872999995, 2321130.1398]
Pyramid-Winnemucca Lakes|16050103|[-2002217.4580000006, 2086703.0013999995, -1935550.8393000006, 2175752.3776999996]
Granite Springs Valley|16050104|[-1970448.5932, 2070848.784, -1877258.9489, 2194878.3358]
Middle Carson|16050202|[-2007511.3191999998, 2023370.9744000006, -1941543.2112999998, 2073620.2057000007]
Carson Desert|16050203|[-1955069.6170000006, 2014846.852, -1849125.4540000006, 2135962.562]
Walker|16050303|[-1977869.2860000003, 1981873.3365000002, -1907194.6652000004, 2040665.8928000003]
Walker Lake|16050304|[-1952633.5656000003, 1908095.5669, -1910470.0252000003, 1988735.9542999999]
Sidney Draw|10190017|[-677220.8103999998, 2008743.0680999998, -583301.3897999999, 2047974.3449]
Lower South Platte|10190018|[-552851.8304999992, 2000080.9463, -389490.6417999992, 2047560.1497]
Stinking Water|10250006|[-561976.7070000004, 1939291.5077, -429531.2013000004, 2016666.4268999998]
Middle Niobrara|10150004|[-505323.7419000007, 2150385.061899999, -242182.03770000074, 2249283.305599999]
